Item_Identifier,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Weight_interploate,Item_Visibility_interpolate,Outlet_age
0.0,0.0,7.0,39.1164,1.0,1987,0.0,2.0,1.0,308.9312,11.65,0.019356132,37
1.0,2.0,4.0,45.5086,0.0,1998,2.0,2.0,0.0,178.4344,5.925,0.161466534,26
1.0,2.0,3.0,43.6454,4.0,1985,2.0,0.0,0.0,125.8362,12.587499999999999,0.072221801,39
1.0,0.0,4.0,55.7956,0.0,1998,2.0,2.0,0.0,163.7868,19.25,0.170348551,26
2.0,1.0,8.0,96.4436,3.0,2009,1.0,2.0,2.0,2741.7644,18.6,0.080829372,15
1.0,0.0,13.0,256.6672,3.0,2009,1.0,2.0,2.0,3068.0064,18.7,0.08652092433333333,15
1.0,0.0,1.0,93.1436,7.0,2002,2.0,1.0,1.0,2174.5028,17.85,0.09221247666666667,22
0.0,0.0,14.0,174.8738,8.0,1997,2.0,0.0,1.0,2085.2856,17.5,0.097904029,27
2.0,1.0,8.0,146.7102,9.0,1999,1.0,0.0,1.0,3791.0652,10.0,0.089291137,25
1.0,2.0,6.0,128.0678,5.0,1985,1.0,2.0,3.0,2797.6916,9.425,0.059511812,39
0.0,2.0,14.0,122.5388,3.0,2009,1.0,2.0,2.0,1609.9044,8.85,0.113123893,15
1.0,2.0,13.0,36.9874,5.0,1985,1.0,2.0,3.0,388.1614,10.35,0.123111453,39
1.0,0.0,13.0,87.6198,5.0,1985,1.0,2.0,3.0,2180.495,11.85,0.026480954,39
1.0,0.0,4.0,230.6352,8.0,1997,2.0,0.0,1.0,3435.528,13.35,0.102511504,27
1.0,0.0,10.0,126.002,1.0,1987,0.0,2.0,1.0,2150.534,9.8,0.02681843,37
1.0,0.0,13.0,192.9136,9.0,1999,1.0,0.0,1.0,2527.3768,13.6,0.117818348,25
1.0,0.0,3.0,259.9278,3.0,2009,1.0,2.0,2.0,6768.5228,21.35,0.069102831,15
1.0,2.0,3.0,126.5046,1.0,1987,0.0,2.0,1.0,373.5138,12.15,0.042277867,37
1.0,0.0,4.0,178.1002,0.0,1998,2.0,2.0,0.0,358.2004,6.42,0.089498926,26
2.0,1.0,8.0,153.3024,7.0,2002,2.0,1.0,1.0,2428.8384,19.6,0.057689251500000004,22
1.0,0.0,3.0,265.2226,7.0,2002,2.0,1.0,1.0,5815.0972,10.0,0.025879577,22
1.0,2.0,0.0,60.622,8.0,1997,2.0,0.0,1.0,2576.646,15.85,0.121632721,27
1.0,2.0,4.0,196.8794,4.0,1985,2.0,0.0,0.0,780.3176,11.62,0.255394896,39
2.0,1.0,8.0,143.8812,8.0,1997,2.0,0.0,1.0,3134.5864,7.39,0.067779712,27
1.0,0.0,5.0,141.5154,1.0,1987,0.0,2.0,1.0,850.8924,10.195,0.159803853,37
1.0,2.0,3.0,117.0492,1.0,1987,0.0,2.0,1.0,810.9444,9.895,0.028696932,37
1.0,0.0,6.0,196.3794,2.0,2007,2.0,1.0,1.0,3121.2704,10.895,0.065041581,17
2.0,1.0,9.0,151.4708,2.0,2007,2.0,1.0,1.0,4815.0656,12.15,0.028760013,17
1.0,0.0,13.0,249.0408,3.0,2009,1.0,2.0,2.0,6258.52,7.905,0.010053105,15
2.0,1.0,9.0,106.1622,7.0,2002,2.0,1.0,1.0,2117.244,9.195,0.048157338,22
0.0,0.0,7.0,38.0506,9.0,1999,1.0,0.0,1.0,796.9626,8.365,0.071958197,25
1.0,0.0,13.0,194.511,8.0,1997,2.0,0.0,1.0,4910.275,15.1,0.173481304,27
1.0,0.0,3.0,180.0344,4.0,1985,2.0,0.0,0.0,892.172,12.55,0.061082177,39
1.0,0.0,6.0,246.9144,3.0,2009,1.0,2.0,2.0,3185.1872,10.0,0.050576654,15
1.0,2.0,10.0,87.3514,7.0,2002,2.0,1.0,1.0,1062.6168,7.97,0.040071131,22
1.0,0.0,6.0,38.2848,5.0,1985,1.0,2.0,3.0,484.7024,10.4025,0.012090074,39
1.0,2.0,5.0,51.0692,4.0,1985,2.0,0.0,0.0,147.8076,12.835,0.15028599,39
1.0,0.0,13.0,255.8356,5.0,1985,1.0,2.0,3.0,2543.356,15.2675,0.026015519,39
1.0,0.0,13.0,185.4266,0.0,1998,2.0,2.0,0.0,184.4266,17.7,0.195068226,26
1.0,0.0,10.0,172.5738,6.0,2004,2.0,1.0,1.0,4865.6664,19.35,0.033082215,20
1.0,2.0,4.0,186.024,7.0,2002,2.0,1.0,1.0,1118.544,13.65,0.078946455,22
0.0,0.0,14.0,164.8526,7.0,2002,2.0,1.0,1.0,2302.3364,17.6,0.041700756,22
2.0,1.0,8.0,95.841,8.0,1997,2.0,0.0,1.0,2027.361,8.645,0.143422643,27
1.0,2.0,13.0,170.1764,8.0,1997,2.0,0.0,1.0,3435.528,15.6,0.105296072,27
1.0,2.0,0.0,59.222,1.0,1987,0.0,2.0,1.0,599.22,15.85,0.121531501,37
1.0,0.0,15.0,164.7526,7.0,2002,2.0,1.0,1.0,4604.6728,18.25,0.0664281815,22
1.0,0.0,3.0,189.6188,2.0,2007,2.0,1.0,1.0,2285.0256,7.855,0.011324862,17
2.0,1.0,9.0,254.3698,9.0,1999,1.0,0.0,1.0,5580.7356,7.825,0.186357148,25
1.0,2.0,5.0,114.0176,8.0,1997,2.0,0.0,1.0,2290.352,8.39,0.024205661,27
1.0,0.0,13.0,172.3422,9.0,1999,1.0,0.0,1.0,1207.0954,12.85,0.033230816,25
1.0,0.0,0.0,89.9804,4.0,1985,2.0,0.0,0.0,643.1628,15.925,0.113720344,39
1.0,0.0,5.0,104.9622,2.0,2007,2.0,1.0,1.0,1587.933,19.0,0.112556507,17
1.0,0.0,3.0,222.5456,7.0,2002,2.0,1.0,1.0,5305.0944,5.905,0.085954374,22
1.0,0.0,13.0,101.87,8.0,1997,2.0,0.0,1.0,1697.79,7.76,0.059352241,27
1.0,2.0,5.0,180.3344,8.0,1997,2.0,0.0,1.0,1427.4752,11.8,0.014087057,27
1.0,0.0,13.0,187.9556,3.0,2009,1.0,2.0,2.0,4693.89,16.75,0.045230944,15
2.0,1.0,9.0,194.6136,4.0,1985,2.0,0.0,0.0,583.2408,16.333333333333332,0.293417759,39
1.0,2.0,0.0,171.3764,5.0,1985,1.0,2.0,3.0,3091.9752,15.916666666666666,0.031382044,39
1.0,2.0,6.0,177.0028,2.0,2007,2.0,1.0,1.0,2479.4392,15.5,0.12639886,17
1.0,0.0,6.0,160.992,6.0,2004,2.0,1.0,1.0,2716.464,6.055,0.025403898,20
1.0,2.0,2.0,155.963,5.0,1985,1.0,2.0,3.0,3285.723,6.18,0.039057677,39
1.0,2.0,13.0,95.6436,8.0,1997,2.0,0.0,1.0,661.8052,6.305,0.123115764,27
1.0,0.0,10.0,117.2808,9.0,1999,1.0,0.0,1.0,1523.3504,20.85,0.039624006,25
1.0,0.0,6.0,122.173,0.0,1998,2.0,2.0,0.0,369.519,20.75,0.040421193,26
0.0,0.0,4.0,39.9138,9.0,1999,1.0,0.0,1.0,690.4346,8.895,0.105274111,25
0.0,0.0,14.0,55.1614,7.0,2002,2.0,1.0,1.0,1381.535,19.6,0.033970195,22
1.0,0.0,6.0,57.893,6.0,2004,2.0,1.0,1.0,622.523,19.7,0.053212652,20
2.0,1.0,8.0,114.5492,6.0,2004,2.0,1.0,1.0,1274.3412,9.8,0.024378706,20
1.0,0.0,5.0,120.0414,4.0,1985,2.0,0.0,0.0,487.3656,10.975000000000001,0.009714595,39
1.0,0.0,5.0,246.046,9.0,1999,1.0,0.0,1.0,1231.73,12.15,0.131383762,25
1.0,2.0,6.0,187.4556,6.0,2004,2.0,1.0,1.0,3755.112,8.75,0.07461309,20
2.0,1.0,9.0,149.9708,5.0,1985,1.0,2.0,3.0,4363.6532,8.75,0.028459761,39
1.0,2.0,6.0,187.8556,8.0,1997,2.0,0.0,1.0,1314.2892,8.75,0.074627201,27
1.0,0.0,5.0,151.0708,7.0,2002,2.0,1.0,1.0,1805.6496,13.3,0.063695084,22
1.0,2.0,13.0,178.5344,5.0,1985,1.0,2.0,3.0,2854.9504,10.805,0.045797829,39
1.0,2.0,13.0,179.1028,9.0,1999,1.0,0.0,1.0,3896.2616,8.31,0.115857223,25
0.0,2.0,14.0,38.7822,1.0,1987,0.0,2.0,1.0,667.7974,16.75,0.024832806,37
1.0,0.0,13.0,212.0902,3.0,2009,1.0,2.0,2.0,3185.853,19.75,0.034027909,15
1.0,2.0,3.0,141.1838,1.0,1987,0.0,2.0,1.0,2247.7408,17.1,0.0467696,37
1.0,2.0,0.0,163.121,1.0,1987,0.0,2.0,1.0,1794.331,10.5,0.116576702,37
1.0,2.0,0.0,121.3098,7.0,2002,2.0,1.0,1.0,2530.7058,6.635,0.19777538849999998,22
0.0,0.0,14.0,225.372,4.0,1985,2.0,0.0,0.0,679.116,10.3925,0.278974075,39
0.0,0.0,14.0,41.4138,1.0,1987,0.0,2.0,1.0,812.276,14.15,0.035913805,37
1.0,0.0,4.0,232.53,8.0,1997,2.0,0.0,1.0,699.09,13.3,0.079806266,27
1.0,0.0,5.0,102.4016,2.0,2007,2.0,1.0,1.0,2732.4432,8.89,0.005505481,17
1.0,2.0,10.0,176.937,4.0,1985,2.0,0.0,0.0,176.437,8.96,0.064625342,39
1.0,0.0,13.0,121.7098,5.0,1985,1.0,2.0,3.0,4097.3332,9.03,0.071636937,39
1.0,2.0,1.0,173.2054,7.0,2002,2.0,1.0,1.0,3151.8972,9.1,0.0521573075,22
1.0,0.0,5.0,239.0906,9.0,1999,1.0,0.0,1.0,5942.265,7.5,0.032677678,25
1.0,2.0,5.0,192.4478,2.0,2007,2.0,1.0,1.0,4843.695,16.85,0.160760054,17
1.0,0.0,13.0,109.0228,6.0,2004,2.0,1.0,1.0,2542.0244,7.485,0.06911065,20
0.0,0.0,14.0,140.3154,2.0,2007,2.0,1.0,1.0,2552.6772,11.6,0.041177505,17
1.0,0.0,13.0,227.0694,3.0,2009,1.0,2.0,2.0,1141.847,11.65,0.040081193,15
2.0,1.0,9.0,47.5034,2.0,2007,2.0,1.0,1.0,680.4476,13.0,0.035307322,17
0.0,0.0,14.0,159.0578,7.0,2002,2.0,1.0,1.0,2085.9514,12.65,0.063017847,22
1.0,2.0,3.0,92.512,0.0,1998,2.0,2.0,0.0,186.424,20.25,0.171938781,26
1.0,2.0,3.0,190.153,6.0,2004,2.0,1.0,1.0,3036.048,8.6,0.040197932,20
1.0,0.0,1.0,62.7194,2.0,2007,2.0,1.0,1.0,866.8716,12.6,0.049058014,17
1.0,0.0,5.0,95.041,6.0,2004,2.0,1.0,1.0,868.869,17.7,0.01161096,20
0.0,0.0,14.0,82.4276,8.0,1997,2.0,0.0,1.0,1137.1864,14.15,0.183507295,27
1.0,0.0,4.0,52.7956,2.0,2007,2.0,1.0,1.0,928.1252,19.25,0.102349519,17
0.0,0.0,7.0,151.7682,1.0,1987,0.0,2.0,1.0,762.341,8.88,0.086708987,37
2.0,1.0,9.0,40.2822,7.0,2002,2.0,1.0,1.0,707.0796,20.5,0.032835147,22
1.0,0.0,3.0,180.5976,5.0,1985,1.0,2.0,3.0,7968.2944,17.0,0.033809913,39
2.0,1.0,9.0,160.292,8.0,1997,2.0,0.0,1.0,1438.128,13.5,0.07266912,27
2.0,1.0,8.0,224.4404,5.0,1985,1.0,2.0,3.0,6976.2524,11.195,0.144338493,39
1.0,0.0,5.0,101.7016,0.0,1998,2.0,2.0,0.0,101.2016,8.89,0.009163216,26
1.0,0.0,3.0,188.5188,3.0,2009,1.0,2.0,2.0,952.094,7.855,0.011307038,15
2.0,1.0,9.0,116.0492,8.0,1997,2.0,0.0,1.0,1969.4364,7.235,0.076855628,27
1.0,0.0,15.0,165.4526,5.0,1985,1.0,2.0,3.0,5262.4832,7.077500000000001,0.059956876,39
1.0,0.0,4.0,60.5852,7.0,2002,2.0,1.0,1.0,1314.2892,6.92,0.038532062,22
1.0,0.0,6.0,90.8172,2.0,2007,2.0,1.0,1.0,535.3032,9.3,0.043209581,17
2.0,1.0,11.0,132.1284,0.0,1998,2.0,2.0,0.0,263.6568,18.5,0.056816465,26
2.0,1.0,9.0,154.5972,6.0,2004,2.0,1.0,1.0,1402.1748,8.02,0.019866705,20
2.0,1.0,9.0,105.1622,2.0,2007,2.0,1.0,1.0,1693.7952,9.195,0.048331717,17
2.0,1.0,11.0,105.5938,7.0,2002,2.0,1.0,1.0,2143.876,12.8,0.091221855,22
2.0,1.0,9.0,177.6344,9.0,1999,1.0,0.0,1.0,2676.516,16.6,0.027622076,25
1.0,2.0,5.0,53.064,6.0,2004,2.0,1.0,1.0,905.488,14.0,0.0334890115,20
1.0,0.0,5.0,246.3802,9.0,1999,1.0,0.0,1.0,7370.406,18.6,0.039355947,25
1.0,0.0,15.0,226.8404,6.0,2004,2.0,1.0,1.0,6301.1312,16.0,0.060836524,20
2.0,1.0,8.0,160.692,6.0,2004,2.0,1.0,1.0,1597.92,17.6,0.082316506,20
1.0,0.0,13.0,178.237,6.0,2004,2.0,1.0,1.0,529.311,21.25,0.155350299,20
2.0,1.0,9.0,117.5492,6.0,2004,2.0,1.0,1.0,1969.4364,7.235,0.076841095,20
0.0,0.0,14.0,50.3692,2.0,2007,2.0,1.0,1.0,1034.6532,14.6,0.151419185,17
1.0,2.0,5.0,161.521,3.0,2009,1.0,2.0,2.0,1794.331,13.85,0.026001976,15
1.0,2.0,5.0,197.6426,3.0,2009,1.0,2.0,2.0,2768.3964,13.65,0.073209447,15
0.0,0.0,14.0,31.29,5.0,1985,1.0,2.0,3.0,898.83,10.5075,0.041683481,39
1.0,0.0,6.0,226.172,8.0,1997,2.0,0.0,1.0,3169.208,7.365,0.042560252,27
2.0,1.0,9.0,223.5746,3.0,2009,1.0,2.0,2.0,3589.9936,18.35,0.014081156,15
1.0,2.0,0.0,132.5626,3.0,2009,1.0,2.0,2.0,262.3252,5.465,0.08349976999999999,15
1.0,0.0,2.0,99.8358,2.0,2007,2.0,1.0,1.0,1910.1802,18.6,0.152918384,17
0.0,0.0,14.0,140.9154,2.0,2007,2.0,1.0,1.0,1701.7848,13.85,0.030969274,17
1.0,2.0,5.0,154.5656,1.0,1987,0.0,2.0,1.0,2471.4496,14.0,0.060376776,37
1.0,2.0,13.0,54.764,1.0,1987,0.0,2.0,1.0,1331.6,14.0,0.04192285,37
1.0,0.0,6.0,97.0094,5.0,1985,1.0,2.0,3.0,1808.9786,9.9525,0.077367431,39
1.0,0.0,3.0,222.5456,3.0,2009,1.0,2.0,2.0,3315.684,5.905,0.045838211,15
0.0,0.0,14.0,114.2518,8.0,1997,2.0,0.0,1.0,2618.5914,7.27,0.071077939,27
1.0,2.0,10.0,214.556,8.0,1997,2.0,0.0,1.0,2769.728,6.155,0.094659871,27
0.0,2.0,14.0,233.4958,2.0,2007,2.0,1.0,1.0,5375.0034,19.5,0.077608838,17
1.0,0.0,3.0,216.8824,2.0,2007,2.0,1.0,1.0,2838.9712,15.2,0.021327477,17
1.0,2.0,3.0,125.0046,3.0,2009,1.0,2.0,2.0,1743.0644,12.15,0.042485444,15
2.0,1.0,9.0,198.8084,5.0,1985,1.0,2.0,3.0,5555.4352,12.375,0.025578526,39
1.0,0.0,1.0,61.9194,3.0,2009,1.0,2.0,2.0,619.194,12.6,0.0489808,15
2.0,1.0,11.0,164.821,6.0,2004,2.0,1.0,1.0,2120.573,14.5,0.019471688,20
1.0,0.0,6.0,173.0738,2.0,2007,2.0,1.0,1.0,3823.0236,16.6,0.122918852,17
1.0,2.0,10.0,151.4366,1.0,1987,0.0,2.0,1.0,1360.2294,11.8,0.057373797,37
1.0,2.0,6.0,178.8318,1.0,1987,0.0,2.0,1.0,3969.4996,13.1,0.044155597,37
1.0,0.0,6.0,115.1834,0.0,1998,2.0,2.0,0.0,345.5502,17.7,0.291865402,26
1.0,0.0,1.0,196.5794,0.0,1998,2.0,2.0,0.0,585.2382,17.85,0.1783077135,26
1.0,2.0,15.0,92.6804,7.0,2002,2.0,1.0,1.0,1010.6844,12.3,0.064750025,22
2.0,1.0,8.0,81.4618,0.0,1998,2.0,2.0,0.0,161.1236,11.8,0.098312421,26
0.0,2.0,14.0,42.1112,4.0,1985,2.0,0.0,0.0,42.6112,11.45,0.191013663,39
1.0,0.0,0.0,157.4604,7.0,2002,2.0,1.0,1.0,3010.7476,11.1,0.176573035,22
1.0,2.0,5.0,153.0656,5.0,1985,1.0,2.0,3.0,6024.1584,11.2,0.060134441,39
1.0,0.0,10.0,198.1426,7.0,2002,2.0,1.0,1.0,988.713,11.3,0.007294652,22
2.0,1.0,8.0,117.944,4.0,1985,2.0,0.0,0.0,239.688,8.525,0.128478462,39
1.0,2.0,4.0,112.8176,1.0,1987,0.0,2.0,1.0,1374.2112,5.75,0.075107656,37
1.0,2.0,0.0,226.8062,5.0,1985,1.0,2.0,3.0,4739.8302,8.55,0.049381406,39
1.0,2.0,13.0,100.0016,3.0,2009,1.0,2.0,2.0,1012.016,11.35,0.045165796,15
1.0,2.0,6.0,165.7526,4.0,1985,2.0,0.0,0.0,657.8104,12.675,0.09415375,39
2.0,1.0,8.0,130.431,9.0,1999,1.0,0.0,1.0,778.986,14.0,0.028907832,25
1.0,2.0,5.0,179.766,7.0,2002,2.0,1.0,1.0,2336.958,19.75,0.018059621,22
2.0,1.0,9.0,85.0882,9.0,1999,1.0,0.0,1.0,2233.0932,6.525,0.090436094,25
1.0,0.0,10.0,103.9648,9.0,1999,1.0,0.0,1.0,1661.8368,10.3,0.146399712,25
1.0,2.0,13.0,264.7568,9.0,1999,1.0,0.0,1.0,4745.8224,5.78,0.074264356,25
1.0,2.0,6.0,164.1526,7.0,2002,2.0,1.0,1.0,3124.5994,11.85,0.050186726,22
1.0,0.0,6.0,50.1324,3.0,2009,1.0,2.0,2.0,467.3916,16.35,0.020631654,15
2.0,1.0,9.0,182.5976,5.0,1985,1.0,2.0,3.0,5070.7328,13.425,0.01561108,39
1.0,0.0,6.0,37.6164,8.0,1997,2.0,0.0,1.0,540.6296,10.5,0.041395445,27
1.0,2.0,5.0,48.0718,8.0,1997,2.0,0.0,1.0,992.7078,19.0,0.097313129,27
2.0,1.0,11.0,238.8538,9.0,1999,1.0,0.0,1.0,6008.845,14.6,0.059582996,25
1.0,2.0,4.0,62.9194,5.0,1985,1.0,2.0,3.0,2105.2596,15.983333333333333,0.098663652,39
1.0,2.0,3.0,232.63,5.0,1985,1.0,2.0,3.0,5359.69,17.366666666666667,0.101338651,39
2.0,1.0,8.0,104.628,7.0,2002,2.0,1.0,1.0,745.696,18.75,0.052146456,22
1.0,2.0,0.0,161.8868,6.0,2004,2.0,1.0,1.0,3275.736,5.26,0.041764487,20
1.0,0.0,13.0,140.2154,7.0,2002,2.0,1.0,1.0,1701.7848,18.25,0.054344186,22
1.0,0.0,0.0,177.937,5.0,1985,1.0,2.0,3.0,6704.606,16.675,0.078362484,39
1.0,0.0,10.0,242.7512,8.0,1997,2.0,0.0,1.0,4119.9704,15.1,0.052339069,27
1.0,2.0,0.0,81.5934,0.0,1998,2.0,2.0,0.0,327.5736,15.5,0.042464962,26
1.0,0.0,5.0,45.7402,9.0,1999,1.0,0.0,1.0,780.9834,13.65,0.065732883,25
0.0,0.0,14.0,189.3846,7.0,2002,2.0,1.0,1.0,3630.6074,16.1,0.023625114,22
1.0,2.0,13.0,107.3622,4.0,1985,2.0,0.0,0.0,317.5866,14.475000000000001,0.051643608,39
1.0,0.0,5.0,39.7164,0.0,1998,2.0,2.0,0.0,231.6984,12.85,0.165694219,26
0.0,0.0,14.0,32.99,6.0,2004,2.0,1.0,1.0,133.16,9.5,0.041878397,20
0.0,0.0,4.0,245.1802,6.0,2004,2.0,1.0,1.0,5650.6446,13.8,0.058091482,20
1.0,2.0,13.0,263.7568,2.0,2007,2.0,1.0,1.0,2636.568,5.78,0.042497598,17
2.0,1.0,9.0,96.0726,7.0,2002,2.0,1.0,1.0,1272.3438,19.7,0.026903714,22
2.0,1.0,9.0,161.5552,0.0,1998,2.0,2.0,0.0,324.9104,14.65,0.0887292125,26
1.0,2.0,13.0,130.0626,0.0,1998,2.0,2.0,0.0,131.1626,6.67,0.150554711,26
1.0,2.0,6.0,131.2968,0.0,1998,2.0,2.0,0.0,260.9936,6.11,0.1427651695,26
1.0,2.0,5.0,260.0936,0.0,1998,2.0,2.0,0.0,260.9936,13.65,0.134975628,26
1.0,0.0,10.0,160.6578,1.0,1987,0.0,2.0,1.0,3690.5294,17.2,0.15616879,37
1.0,0.0,10.0,40.2822,6.0,2004,2.0,1.0,1.0,1139.1838,6.32,0.14493477100000002,20
1.0,2.0,0.0,52.9298,9.0,1999,1.0,0.0,1.0,1995.4026,4.88,0.133700752,25
1.0,2.0,0.0,88.3514,2.0,2007,2.0,1.0,1.0,1416.8224,5.425,0.115119905,17
1.0,2.0,5.0,37.2506,8.0,1997,2.0,0.0,1.0,265.6542,15.85,0.110030997,27
1.0,0.0,3.0,121.7072,2.0,2007,2.0,1.0,1.0,3552.7088,7.5,0.051038045,17
0.0,0.0,14.0,161.5578,1.0,1987,0.0,2.0,1.0,2406.867,12.65,0.062837968,37
2.0,1.0,11.0,211.956,4.0,1985,2.0,0.0,0.0,213.056,16.7,0.017116983,39
1.0,0.0,6.0,124.173,1.0,1987,0.0,2.0,1.0,2956.152,20.75,0.024129332,37
0.0,0.0,4.0,152.134,4.0,1985,2.0,0.0,0.0,153.134,14.875,0.049754975,39
1.0,0.0,3.0,79.7644,6.0,2004,2.0,1.0,1.0,1649.8524,9.0,0.0756582715,20
1.0,0.0,3.0,181.9292,5.0,1985,1.0,2.0,3.0,3101.2964,10.275,0.101561568,39
2.0,1.0,9.0,165.6526,5.0,1985,1.0,2.0,3.0,4769.1254,11.55,0.005949644,39
1.0,2.0,12.0,170.4764,5.0,1985,1.0,2.0,3.0,3435.528,12.825,0.13956116,39
1.0,0.0,6.0,86.4198,7.0,2002,2.0,1.0,1.0,1133.8574,14.1,0.126035694,22
1.0,0.0,3.0,152.334,6.0,2004,2.0,1.0,1.0,2603.278,7.55,0.027164679,20
2.0,1.0,9.0,45.406,8.0,1997,2.0,0.0,1.0,605.878,13.0,0.099325278,27
0.0,0.0,7.0,192.8846,5.0,1985,1.0,2.0,3.0,2293.0152,12.766666666666667,0.04357366,39
1.0,2.0,13.0,118.7782,4.0,1985,2.0,0.0,0.0,119.1782,12.533333333333333,0.082741482,39
1.0,2.0,15.0,92.9804,1.0,1987,0.0,2.0,1.0,1929.4884,12.3,0.064565202,37
1.0,0.0,13.0,109.8912,5.0,1985,1.0,2.0,3.0,2074.6328,13.950000000000001,0.084554569,39
2.0,1.0,8.0,79.9618,5.0,1985,1.0,2.0,3.0,241.6854,15.6,0.058451805,39
2.0,1.0,9.0,251.3724,7.0,2002,2.0,1.0,1.0,6795.1548,17.25,0.113748685,22
2.0,1.0,9.0,42.7112,2.0,2007,2.0,1.0,1.0,639.168,15.85,0.020603511,17
2.0,1.0,8.0,192.1846,6.0,2004,2.0,1.0,1.0,3248.4382,18.85,0.052044976,20
1.0,2.0,6.0,227.6062,2.0,2007,2.0,1.0,1.0,7222.5984,16.35,0.062764429,17
0.0,0.0,4.0,229.0668,6.0,2004,2.0,1.0,1.0,3225.1352,14.1,0.087977262,20
1.0,0.0,13.0,249.0408,6.0,2004,2.0,1.0,1.0,3755.112,7.905,0.010010425,20
1.0,0.0,3.0,179.3976,1.0,1987,0.0,2.0,1.0,3440.8544,12.0,0.033946163,37
1.0,2.0,6.0,163.4552,6.0,2004,2.0,1.0,1.0,974.7312,12.15,0.058414678,20
1.0,0.0,10.0,75.367,9.0,1999,1.0,0.0,1.0,535.969,10.1,0.027106459,25
1.0,0.0,5.0,262.491,2.0,2007,2.0,1.0,1.0,5259.82,17.5,0.027022883,17
0.0,0.0,4.0,152.034,4.0,1985,2.0,0.0,0.0,306.268,17.3,0.058153409,39
1.0,0.0,6.0,112.3886,3.0,2009,1.0,2.0,2.0,1779.0176,17.1,0.128937661,15
1.0,0.0,6.0,61.451,9.0,1999,1.0,0.0,1.0,759.012,7.785,0.088846306,25
1.0,2.0,13.0,125.9704,1.0,1987,0.0,2.0,1.0,1877.556,11.8,0.09357779,37
1.0,2.0,6.0,171.8764,7.0,2002,2.0,1.0,1.0,3779.0808,13.15,0.165694678,22
1.0,0.0,5.0,41.5796,4.0,1985,2.0,0.0,0.0,41.2796,10.825,0.148392623,39
1.0,0.0,3.0,51.1324,2.0,2007,2.0,1.0,1.0,259.662,8.5,0.098438394,17
