Item_Identifier,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Weight_interploate,Item_Visibility_interpolate,Outlet_age
FD,Low Fat,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,16.35,0.0680243,37
FD,Regular,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,9.0,0.069088961,27
NC,Non-Edible,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,11.8,0.008596051,15
FD,Regular,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,9.0,0.069196376,25
DR,Low Fat,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,11.175,0.034237682,39
FD,Low Fat,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,13.35,0.10249212,20
FD,Regular,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,18.85,0.138190277,37
FD,Regular,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,16.725,0.035399923,39
NC,Non-Edible,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,14.6,0.025698134,20
FD,Low Fat,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,14.225,0.057556998,39
FD,Regular,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,13.85,0.025896485,27
NC,Non-Edible,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,13.0,0.099887103,17
FD,Regular,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,7.645,0.066693437,20
DR,Low Fat,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,11.65,0.019356132,37
FD,Regular,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,178.4344,5.925,0.161466534,26
FD,Regular,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,12.587499999999999,0.072221801,39
FD,Low Fat,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,19.25,0.170348551,26
NC,Non-Edible,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,18.6,0.080829372,15
FD,Low Fat,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,18.7,0.08652092433333333,15
FD,Low Fat,Breads,93.1436,OUT045,2002,Small,Tier 2,Supermarket Type1,2174.5028,17.85,0.09221247666666667,22
DR,Low Fat,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,17.5,0.097904029,27
NC,Non-Edible,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,10.0,0.089291137,25
FD,Regular,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,9.425,0.059511812,39
DR,Regular,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,8.85,0.113123893,15
FD,Regular,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,10.35,0.123111453,39
FD,Low Fat,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,11.85,0.026480954,39
FD,Low Fat,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,13.35,0.102511504,27
FD,Low Fat,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,9.8,0.02681843,37
FD,Low Fat,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,13.6,0.117818348,25
FD,Low Fat,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,21.35,0.069102831,15
FD,Regular,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,12.15,0.042277867,37
FD,Low Fat,Dairy,178.1002,OUT010,1998,Small,Tier 3,Grocery Store,358.2004,6.42,0.089498926,26
NC,Non-Edible,Health and Hygiene,153.3024,OUT045,2002,Small,Tier 2,Supermarket Type1,2428.8384,19.6,0.057689251500000004,22
FD,Low Fat,Canned,265.2226,OUT045,2002,Small,Tier 2,Supermarket Type1,5815.0972,10.0,0.025879577,22
FD,Regular,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,15.85,0.121632721,27
FD,Regular,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,11.62,0.255394896,39
NC,Non-Edible,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,7.39,0.067779712,27
FD,Low Fat,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,10.195,0.159803853,37
FD,Regular,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,9.895,0.028696932,37
FD,Low Fat,Fruits and Vegetables,196.3794,OUT017,2007,Small,Tier 2,Supermarket Type1,3121.2704,10.895,0.065041581,17
NC,Non-Edible,Household,151.4708,OUT017,2007,Small,Tier 2,Supermarket Type1,4815.0656,12.15,0.028760013,17
FD,Low Fat,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,7.905,0.010053105,15
NC,Non-Edible,Household,106.1622,OUT045,2002,Small,Tier 2,Supermarket Type1,2117.244,9.195,0.048157338,22
DR,Low Fat,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,8.365,0.071958197,25
FD,Low Fat,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,15.1,0.173481304,27
FD,Low Fat,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,12.55,0.061082177,39
FD,Low Fat,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,10.0,0.050576654,15
FD,Regular,Meat,87.3514,OUT045,2002,Small,Tier 2,Supermarket Type1,1062.6168,7.97,0.040071131,22
FD,Low Fat,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,10.4025,0.012090074,39
FD,Regular,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,12.835,0.15028599,39
FD,Low Fat,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,15.2675,0.026015519,39
FD,Low Fat,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,184.4266,17.7,0.195068226,26
FD,Low Fat,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,19.35,0.033082215,20
FD,Regular,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.544,13.65,0.078946455,22
DR,Low Fat,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,17.6,0.041700756,22
NC,Non-Edible,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,8.645,0.143422643,27
FD,Regular,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,15.6,0.105296072,27
FD,Regular,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,15.85,0.121531501,37
FD,Low Fat,Starchy Foods,164.7526,OUT045,2002,Small,Tier 2,Supermarket Type1,4604.6728,18.25,0.0664281815,22
FD,Low Fat,Canned,189.6188,OUT017,2007,Small,Tier 2,Supermarket Type1,2285.0256,7.855,0.011324862,17
NC,Non-Edible,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,7.825,0.186357148,25
FD,Regular,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,8.39,0.024205661,27
FD,Low Fat,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,12.85,0.033230816,25
FD,Low Fat,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,15.925,0.113720344,39
FD,Low Fat,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933,19.0,0.112556507,17
FD,Low Fat,Canned,222.5456,OUT045,2002,Small,Tier 2,Supermarket Type1,5305.0944,5.905,0.085954374,22
FD,Low Fat,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,7.76,0.059352241,27
FD,Regular,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,11.8,0.014087057,27
FD,Low Fat,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,16.75,0.045230944,15
NC,Non-Edible,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,16.333333333333332,0.293417759,39
FD,Regular,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,15.916666666666666,0.031382044,39
FD,Regular,Fruits and Vegetables,177.0028,OUT017,2007,Small,Tier 2,Supermarket Type1,2479.4392,15.5,0.12639886,17
FD,Low Fat,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,6.055,0.025403898,20
FD,Regular,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,6.18,0.039057677,39
FD,Regular,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,6.305,0.123115764,27
FD,Low Fat,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,20.85,0.039624006,25
FD,Low Fat,Fruits and Vegetables,122.173,OUT010,1998,Small,Tier 3,Grocery Store,369.519,20.75,0.040421193,26
DR,Low Fat,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,8.895,0.105274111,25
DR,Low Fat,Soft Drinks,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535,19.6,0.033970195,22
FD,Low Fat,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,19.7,0.053212652,20
NC,Non-Edible,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,9.8,0.024378706,20
FD,Low Fat,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,10.975000000000001,0.009714595,39
FD,Low Fat,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,12.15,0.131383762,25
FD,Regular,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,8.75,0.07461309,20
NC,Non-Edible,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,8.75,0.028459761,39
FD,Regular,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,8.75,0.074627201,27
FD,Low Fat,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,1805.6496,13.3,0.063695084,22
FD,Regular,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,10.805,0.045797829,39
FD,Regular,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,8.31,0.115857223,25
DR,Regular,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,16.75,0.024832806,37
FD,Low Fat,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,19.75,0.034027909,15
FD,Regular,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,17.1,0.0467696,37
FD,Regular,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,10.5,0.116576702,37
FD,Regular,Baking Goods,121.3098,OUT045,2002,Small,Tier 2,Supermarket Type1,2530.7058,6.635,0.19777538849999998,22
DR,Low Fat,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116,10.3925,0.278974075,39
DR,Low Fat,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,14.15,0.035913805,37
FD,Low Fat,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,13.3,0.079806266,27
FD,Low Fat,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,2732.4432,8.89,0.005505481,17
FD,Regular,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,8.96,0.064625342,39
FD,Low Fat,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,9.03,0.071636937,39
FD,Regular,Breads,173.2054,OUT045,2002,Small,Tier 2,Supermarket Type1,3151.8972,9.1,0.0521573075,22
FD,Low Fat,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,7.5,0.032677678,25
FD,Regular,Frozen Foods,192.4478,OUT017,2007,Small,Tier 2,Supermarket Type1,4843.695,16.85,0.160760054,17
FD,Low Fat,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,7.485,0.06911065,20
DR,Low Fat,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,2552.6772,11.6,0.041177505,17
FD,Low Fat,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,11.65,0.040081193,15
NC,Non-Edible,Household,47.5034,OUT017,2007,Small,Tier 2,Supermarket Type1,680.4476,13.0,0.035307322,17
DR,Low Fat,Soft Drinks,159.0578,OUT045,2002,Small,Tier 2,Supermarket Type1,2085.9514,12.65,0.063017847,22
FD,Regular,Canned,92.512,OUT010,1998,Small,Tier 3,Grocery Store,186.424,20.25,0.171938781,26
FD,Regular,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,8.6,0.040197932,20
FD,Low Fat,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716,12.6,0.049058014,17
FD,Low Fat,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869,17.7,0.01161096,20
DR,Low Fat,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,14.15,0.183507295,27
FD,Low Fat,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,928.1252,19.25,0.102349519,17
DR,Low Fat,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,8.88,0.086708987,37
NC,Non-Edible,Household,40.2822,OUT045,2002,Small,Tier 2,Supermarket Type1,707.0796,20.5,0.032835147,22
FD,Low Fat,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,17.0,0.033809913,39
NC,Non-Edible,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,13.5,0.07266912,27
NC,Non-Edible,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,11.195,0.144338493,39
FD,Low Fat,Frozen Foods,101.7016,OUT010,1998,Small,Tier 3,Grocery Store,101.2016,8.89,0.009163216,26
FD,Low Fat,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094,7.855,0.011307038,15
NC,Non-Edible,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,7.235,0.076855628,27
FD,Low Fat,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,7.077500000000001,0.059956876,39
FD,Low Fat,Dairy,60.5852,OUT045,2002,Small,Tier 2,Supermarket Type1,1314.2892,6.92,0.038532062,22
FD,Low Fat,Fruits and Vegetables,90.8172,OUT017,2007,Small,Tier 2,Supermarket Type1,535.3032,9.3,0.043209581,17
NC,Non-Edible,Others,132.1284,OUT010,1998,Small,Tier 3,Grocery Store,263.6568,18.5,0.056816465,26
NC,Non-Edible,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,8.02,0.019866705,20
NC,Non-Edible,Household,105.1622,OUT017,2007,Small,Tier 2,Supermarket Type1,1693.7952,9.195,0.048331717,17
NC,Non-Edible,Others,105.5938,OUT045,2002,Small,Tier 2,Supermarket Type1,2143.876,12.8,0.091221855,22
NC,Non-Edible,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516,16.6,0.027622076,25
FD,Regular,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,14.0,0.0334890115,20
FD,Low Fat,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,18.6,0.039355947,25
FD,Low Fat,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,16.0,0.060836524,20
NC,Non-Edible,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,17.6,0.082316506,20
FD,Low Fat,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,21.25,0.155350299,20
NC,Non-Edible,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,7.235,0.076841095,20
DR,Low Fat,Soft Drinks,50.3692,OUT017,2007,Small,Tier 2,Supermarket Type1,1034.6532,14.6,0.151419185,17
FD,Regular,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331,13.85,0.026001976,15
FD,Regular,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,13.65,0.073209447,15
DR,Low Fat,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83,10.5075,0.041683481,39
FD,Low Fat,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,7.365,0.042560252,27
NC,Non-Edible,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,18.35,0.014081156,15
FD,Regular,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,5.465,0.08349976999999999,15
FD,Low Fat,Breakfast,99.8358,OUT017,2007,Small,Tier 2,Supermarket Type1,1910.1802,18.6,0.152918384,17
DR,Low Fat,Soft Drinks,140.9154,OUT017,2007,Small,Tier 2,Supermarket Type1,1701.7848,13.85,0.030969274,17
FD,Regular,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,14.0,0.060376776,37
FD,Regular,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,14.0,0.04192285,37
FD,Low Fat,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786,9.9525,0.077367431,39
FD,Low Fat,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,5.905,0.045838211,15
DR,Low Fat,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,7.27,0.071077939,27
FD,Regular,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,6.155,0.094659871,27
DR,Regular,Soft Drinks,233.4958,OUT017,2007,Small,Tier 2,Supermarket Type1,5375.0034,19.5,0.077608838,17
FD,Low Fat,Canned,216.8824,OUT017,2007,Small,Tier 2,Supermarket Type1,2838.9712,15.2,0.021327477,17
FD,Regular,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,12.15,0.042485444,15
NC,Non-Edible,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352,12.375,0.025578526,39
FD,Low Fat,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194,12.6,0.0489808,15
NC,Non-Edible,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573,14.5,0.019471688,20
FD,Low Fat,Fruits and Vegetables,173.0738,OUT017,2007,Small,Tier 2,Supermarket Type1,3823.0236,16.6,0.122918852,17
FD,Regular,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,11.8,0.057373797,37
FD,Regular,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,13.1,0.044155597,37
FD,Low Fat,Fruits and Vegetables,115.1834,OUT010,1998,Small,Tier 3,Grocery Store,345.5502,17.7,0.291865402,26
FD,Low Fat,Breads,196.5794,OUT010,1998,Small,Tier 3,Grocery Store,585.2382,17.85,0.1783077135,26
FD,Regular,Starchy Foods,92.6804,OUT045,2002,Small,Tier 2,Supermarket Type1,1010.6844,12.3,0.064750025,22
NC,Non-Edible,Health and Hygiene,81.4618,OUT010,1998,Small,Tier 3,Grocery Store,161.1236,11.8,0.098312421,26
DR,Regular,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112,11.45,0.191013663,39
FD,Low Fat,Baking Goods,157.4604,OUT045,2002,Small,Tier 2,Supermarket Type1,3010.7476,11.1,0.176573035,22
FD,Regular,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584,11.2,0.060134441,39
FD,Low Fat,Meat,198.1426,OUT045,2002,Small,Tier 2,Supermarket Type1,988.713,11.3,0.007294652,22
NC,Non-Edible,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,239.688,8.525,0.128478462,39
FD,Regular,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112,5.75,0.075107656,37
FD,Regular,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.8302,8.55,0.049381406,39
FD,Regular,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.016,11.35,0.045165796,15
FD,Regular,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,657.8104,12.675,0.09415375,39
NC,Non-Edible,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.986,14.0,0.028907832,25
FD,Regular,Frozen Foods,179.766,OUT045,2002,Small,Tier 2,Supermarket Type1,2336.958,19.75,0.018059621,22
NC,Non-Edible,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932,6.525,0.090436094,25
FD,Low Fat,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368,10.3,0.146399712,25
FD,Regular,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224,5.78,0.074264356,25
FD,Regular,Fruits and Vegetables,164.1526,OUT045,2002,Small,Tier 2,Supermarket Type1,3124.5994,11.85,0.050186726,22
FD,Low Fat,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916,16.35,0.020631654,15
NC,Non-Edible,Household,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.7328,13.425,0.01561108,39
FD,Low Fat,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,10.5,0.041395445,27
FD,Regular,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078,19.0,0.097313129,27
NC,Non-Edible,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845,14.6,0.059582996,25
FD,Regular,Dairy,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.2596,15.983333333333333,0.098663652,39
FD,Regular,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69,17.366666666666667,0.101338651,39
NC,Non-Edible,Health and Hygiene,104.628,OUT045,2002,Small,Tier 2,Supermarket Type1,745.696,18.75,0.052146456,22
FD,Regular,Baking Goods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736,5.26,0.041764487,20
FD,Low Fat,Snack Foods,140.2154,OUT045,2002,Small,Tier 2,Supermarket Type1,1701.7848,18.25,0.054344186,22
FD,Low Fat,Baking Goods,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.606,16.675,0.078362484,39
FD,Low Fat,Meat,242.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.9704,15.1,0.052339069,27
FD,Regular,Baking Goods,81.5934,OUT010,1998,Small,Tier 3,Grocery Store,327.5736,15.5,0.042464962,26
FD,Low Fat,Frozen Foods,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834,13.65,0.065732883,25
DR,Low Fat,Soft Drinks,189.3846,OUT045,2002,Small,Tier 2,Supermarket Type1,3630.6074,16.1,0.023625114,22
FD,Regular,Snack Foods,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866,14.475000000000001,0.051643608,39
FD,Low Fat,Frozen Foods,39.7164,OUT010,1998,Small,Tier 3,Grocery Store,231.6984,12.85,0.165694219,26
DR,Low Fat,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16,9.5,0.041878397,20
DR,Low Fat,Dairy,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446,13.8,0.058091482,20
FD,Regular,Snack Foods,263.7568,OUT017,2007,Small,Tier 2,Supermarket Type1,2636.568,5.78,0.042497598,17
NC,Non-Edible,Household,96.0726,OUT045,2002,Small,Tier 2,Supermarket Type1,1272.3438,19.7,0.026903714,22
NC,Non-Edible,Household,161.5552,OUT010,1998,Small,Tier 3,Grocery Store,324.9104,14.65,0.0887292125,26
FD,Regular,Snack Foods,130.0626,OUT010,1998,Small,Tier 3,Grocery Store,131.1626,6.67,0.150554711,26
